pwdprmor,pwdstcrd,pwdsloan,pwarppg,pwarrspl,pwarrif,pwaotpen,pwatfs,pefatinc,pweight,pagemieg,peducmie,total_retirement_assets,retirement_preparedness,has_mortage,has_cc,has_student,retirement_preparedness_log
20000,8000,0,0,20000,0,0,0,47350,368.005,9,3,20000,0.42238648363252373,1,1,0,0.8847532045032378
340000,0,0,135000,19000,0,0,20000,165275,557.3825,7,4,174000,1.0527908032067765,1,0,0,1.116056189690896
0,900,0,575000,60000,330000,0,0,196475,850.42,6,3,965000,4.911566357042881,0,1,0,1.9331962918373204
0,0,0,470000,0,17000,0,210000,85050,729.2395,13,4,697000,8.195179306290417,0,0,0,2.321914991541244
0,0,0,0,310000,0,0,0,138175,264.0878,7,2,310000,2.2435317532115073,0,0,0,1.445395883187747
0,0,0,0,105000,0,0,21000,31800,2665.2514,13,2,126000,3.9622641509433962,0,0,0,1.78545030003479
0,2000,0,250000,0,0,0,0,114600,519.0312,11,2,250000,2.181500872600349,0,1,0,1.4306702425206004
0,0,0,340000,70000,0,0,15500,76625,1417.0023,8,1,425500,5.553017944535074,0,0,0,2.0219472111440684
0,2000,0,200000,0,0,0,0,67125,181.7194,14,1,200000,2.97951582867784,0,1,0,1.6053326631530238
0,0,0,0,310000,0,0,2000,128425,509.0045,9,4,312000,2.4294335215106093,0,0,0,1.488271702632394
0,0,0,0,925000,0,0,0,214275,772.1662,9,4,925000,4.316882510792206,0,0,0,1.843225812850489
0,0,0,49000,0,0,0,0,25575,1197.9543,14,2,49000,1.9159335288367547,0,0,0,1.3650537502741371
200000,1050,40000,290000,95000,0,21000,2600,135450,439.4645,7,3,408600,3.0166112956810633,1,1,1,1.6127546650600944
0,0,0,0,67500,0,0,0,79925,1772.5224,10,1,67500,0.8445417578980294,0,0,0,1.0454019853251144
230000,7000,0,240000,130000,0,0,0,98725,1138.182,6,4,370000,3.747784249177007,1,1,0,1.7488144325744348
40000,0,0,470000,16500,0,0,0,152700,3760.8211,7,2,486500,3.185985592665357,1,0,0,1.64595990899178
0,0,0,0,0,105000,0,37000,28500,2051.3311,14,3,142000,4.982456140350878,0,0,0,1.9434007374498876
0,1000,0,125000,40000,0,0,0,95175,791.3133,6,3,165000,1.7336485421591805,0,1,0,1.3173859170043432
220000,725,0,29000,65000,0,0,0,57150,1369.9101,6,4,94000,1.6447944006999125,1,1,0,1.2932999580261066
0,5000,0,950000,0,200000,0,0,91825,603.811,12,2,1150000,12.523822488429078,0,1,0,2.6757902315295268
0,0,0,0,30000,0,0,25000,21150,3429.1236,11,1,55000,2.600472813238771,0,0,0,1.5261590836996723
0,0,0,34000,0,0,0,0,35700,4134.8578,7,3,34000,0.9523809523809523,0,0,0,1.0826119473216687
0,0,70000,0,4900,0,0,0,14500,1956.2552,8,4,4900,0.33793103448275863,0,0,1,0.8492663649598758
0,0,0,0,0,0,0,5000,22525,1177.4914,14,1,5000,0.22197558268590456,0,0,0,0.7983967022668279
480000,0,0,725000,2600000,0,0,120000,275050,249.181,11,4,3445000,12.52499545537175,1,0,0,2.675870989854742
0,0,0,1400000,1600000,0,0,92500,211775,1202.2311,11,4,3092500,14.602762365718332,0,0,0,2.8095690890916867
0,0,0,0,62500,0,0,0,30550,980.6473,10,3,62500,2.0458265139116203,0,0,0,1.3976858594059862
0,0,0,0,1200000,0,0,0,163825,275.7139,9,4,1200000,7.324889363650237,0,0,0,2.232687100971585
0,0,0,85000,72500,0,0,105000,125650,969.9218,9,3,262500,2.0891364902506964,0,0,0,1.4083338206861822
0,0,0,270000,50000,0,0,62500,32100,314.7685,12,4,382500,11.91588785046729,0,0,0,2.6330311982221026
0,0,0,0,210000,0,600,0,60400,2296.672,10,1,210600,3.486754966887417,0,0,0,1.7023370000516933
62500,2100,0,0,16000,0,0,1700,40300,1265.1855,10,2,17700,0.4392059553349876,1,1,0,0.8916725582004835
0,1900,0,330000,16000,0,0,15000,70325,77.0521,6,3,361000,5.133309633842872,0,1,0,1.9647753109957011
50000,4750,0,155000,0,0,0,950,146625,625.8238,9,2,155950,1.0635976129582267,1,1,0,1.1195899158906486
250000,25000,0,320000,155000,0,0,0,70075,3013.7247,8,2,475000,6.778451658936853,1,1,0,2.172300043455326
0,0,0,29000,62500,0,0,5000,76975,9462.5857,6,3,96500,1.253653783696005,0,0,0,1.1797786059930617
0,0,0,0,0,200000,0,8000,53750,2393.6522,6,3,208000,3.869767441860465,0,0,0,1.7698150149734957
0,0,0,1200000,0,0,0,0,93650,478.7292,10,2,1200000,12.813667912439936,0,0,0,2.695550262196582
77500,5250,0,0,22000,0,21000,0,74900,3176.5305,7,4,43000,0.5740987983978638,1,1,0,0.9454994916532714
0,0,0,875000,440000,0,0,52500,226400,1284.5958,11,3,1367500,6.040194346289753,0,0,0,2.084453255322825
180000,1650,0,185000,10000,0,0,950,45775,1964.0796,6,2,195950,4.280720917531403,1,1,0,1.8374847696768306
0,0,0,775000,575000,0,0,175000,357750,1454.0283,6,3,1525000,4.262753319357093,0,0,0,1.8346199157896375
250000,6000,0,1250000,0,0,0,0,156600,2940.1842,6,3,1250000,7.982120051085569,1,1,0,2.3007954977318157
